attendance_id,civic_event_id,attendee_type,checked_in,contribution,attend_date
AT001,E001,Member,1,50.00,2026-01-10
AT002,E001,Guest,1,25.00,2026-01-10
AT003,E002,Member,1,0.00,2026-01-11
AT004,E002,Guest,1,10.00,2026-01-11
AT005,E003,Guest,1,20.00,2026-01-12
AT006,E003,Member,1,40.00,2026-01-12
AT007,E001,Guest,0,0.00,2026-01-13
AT008,E002,Student,1,0.00,2026-01-13
AT009,E003,Vendor,1,75.00,2026-01-14
AT010,E001,Member,1,60.00,2026-01-14
AT011,E002,Guest,0,0.00,2026-01-15
AT012,E003,Student,1,5.00,2026-01-15
AT013,E001,Vendor,1,100.00,2026-01-16
AT014,E002,Member,1,20.00,2026-01-16
AT015,E003,Guest,1,15.00,2026-01-17
AT016,E001,Student,1,0.00,2026-01-17
AT017,E002,Vendor,1,50.00,2026-01-18
AT018,E003,Member,0,0.00,2026-01-18
AT019,E001,Guest,1,30.00,2026-01-19
AT020,E002,Student,1,0.00,2026-01-19
AT021,E003,Vendor,1,80.00,2026-01-20
AT022,E001,Member,1,45.00,2026-01-20
AT023,E002,Guest,1,15.00,2026-01-21
AT024,E003,Student,0,0.00,2026-01-21
AT025,E001,Vendor,1,90.00,2026-01-22
AT026,E002,Member,1,25.00,2026-01-22
AT027,E003,Guest,1,10.00,2026-01-23
AT028,E001,Student,1,5.00,2026-01-23
AT029,E002,Vendor,1,65.00,2026-01-24
AT030,E003,Member,1,35.00,2026-01-24
