sale_id,store_id,product_category,quantity,amount,sale_date
SA001,S001,Clothing,2,120.00,2026-01-05
SA002,S001,Food,5,45.00,2026-01-06
SA003,S002,Outdoors,1,250.00,2026-01-07
SA004,S002,Food,3,30.00,2026-01-08
SA005,S003,Clothing,1,60.00,2026-01-09
SA006,S003,Food,8,72.00,2026-01-10
SA007,S001,Outdoors,1,180.00,2026-01-11
SA008,S002,Clothing,3,150.00,2026-01-12
SA009,S003,Outdoors,2,320.00,2026-01-13
SA010,S001,Food,10,95.00,2026-01-14
SA011,S002,Food,6,54.00,2026-01-15
SA012,S003,Clothing,4,220.00,2026-01-16
SA013,S001,Clothing,1,75.00,2026-01-17
SA014,S002,Outdoors,2,410.00,2026-01-18
SA015,S003,Food,2,18.00,2026-01-19
SA016,S001,Outdoors,3,540.00,2026-01-20
SA017,S002,Clothing,2,130.00,2026-01-21
SA018,S003,Outdoors,1,200.00,2026-01-22
SA019,S001,Food,4,36.00,2026-01-23
SA020,S002,Food,9,81.00,2026-01-24
SA021,S003,Clothing,2,110.00,2026-01-25
SA022,S001,Clothing,5,275.00,2026-01-26
SA023,S002,Outdoors,1,300.00,2026-01-27
SA024,S003,Food,7,63.00,2026-01-28
SA025,S001,Outdoors,2,360.00,2026-01-29
SA026,S002,Clothing,1,70.00,2026-01-30
SA027,S003,Outdoors,4,640.00,2026-01-31
SA028,S001,Food,12,108.00,2026-02-01
SA029,S002,Food,5,50.00,2026-02-02
SA030,S003,Clothing,3,165.00,2026-02-03
